\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454790.883177 12.04351 0.00214 
 2454790.887715 12.04389 0.00212 
 2454790.892253 12.04401 0.00211 
 2454790.896789 12.04398 0.00229 
 2454790.901313 12.04240 0.00219 
 2454790.908235 12.04706 0.00218 
 2454791.749116 12.04254 0.00210 
 2454791.761086 12.04534 0.00211 
 2454791.773037 12.04875 0.00207 
 2454791.784978 12.04873 0.00211 
 2454791.828055 12.04708 0.00221 
 2454791.847657 12.05086 0.00209 
 2454791.874688 12.04957 0.00216 
 2454791.882096 12.04689 0.00203 
 2454791.889512 12.04543 0.00239 
 2454791.896929 12.04637 0.00223 
 2454791.904346 12.04173 0.00220 
 2454792.757885 12.04390 0.00209 
 2454792.769829 12.04590 0.00167 
 2454792.781785 12.04154 0.00197 
 2454792.885475 12.04226 0.00219 
 2454792.904719 12.05167 0.00181 
 2454793.777071 12.05419 0.00205 
 2454794.740211 12.04285 0.00205 
 2454794.752176 12.04480 0.00215 
 2454794.764138 12.04671 0.00212 
 2454794.776090 12.04296 0.00213 
 2454794.790295 12.04671 0.00203 
 2454794.809543 12.04851 0.00220 
 2454794.828960 12.04492 0.00209 
 2454794.838759 12.04568 0.00210 
 2454794.860584 12.04210 0.00236 
 2454794.870191 12.04313 0.00203 
 2454794.889436 12.04843 0.00215 
 2454794.899059 12.05694 0.00180 
